Type,Count,Allocated(MB),Resident(MB)
"System.Collections.Generic.Dictionary<System.Type,UnityEngine.Rendering.VolumeComponent>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Int32,System.Boolean>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Int32,System.Collections.Generic.List<UnityEngine.Rendering.Volume>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Type,System.Collections.Generic.List<System.ValueTuple<System.String,System.Type>>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Int32,UnityEngine.Rendering.DynamicResolutionHandler>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Int32,UnityEngine.Rendering.DynamicResUpscaleFilter>",1,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalRenderPipeline",1,0.000,0.000
"UnityEngine.Pool.ObjectPool<UnityEngine.Rendering.Universal.ScriptableRenderer.BeginXRPassData>",1,0.000,0.000
"UnityEngine.Pool.ObjectPool<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.BeginXRPassData>>",1,0.000,0.000
"UnityEngine.Pool.ObjectPool<UnityEngine.Rendering.Universal.Internal.MainLightShadowCasterPass.PassData>",1,0.000,0.000
"UnityEngine.Pool.ObjectPool<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.Internal.MainLightShadowCasterPass.PassData>>",1,0.000,0.000
"UnityEngine.Pool.ObjectPool<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData>>",1,0.000,0.000
"UnityEngine.Pool.ObjectPool<UnityEngine.Rendering.Universal.DebugHandler.DebugSetupPassData>",1,0.000,0.000
"UnityEngine.Pool.ObjectPool<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.DebugHandler.DebugSetupPassData>>",1,0.000,0.000
"UnityEngine.Pool.ObjectPool<UnityEngine.Rendering.Universal.Internal.ForwardLights.SetupLightPassData>",1,0.000,0.000
"UnityEngine.Pool.ObjectPool<UnityEngine.Rendering.RenderGraphModule.UnsafeRenderGraphPass<UnityEngine.Rendering.Universal.Internal.ForwardLights.SetupLightPassData>>",1,0.000,0.000
"UnityEngine.Pool.ObjectPool<UnityEngine.Rendering.Universal.MotionVectorRenderPass.MotionMatrixPassData>",1,0.000,0.000
"UnityEngine.Pool.ObjectPool<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.MotionVectorRenderPass.MotionMatrixPassData>>",1,0.000,0.000
"UnityEngine.Pool.ObjectPool<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData>",1,0.000,0.000
"UnityEngine.Pool.ObjectPool<UnityEngine.Rendering.RenderGraphModule.UnsafeRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Int32,System.UInt64>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Int32,System.Int32>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Int32,UnityEngine.Rendering.Universal.ReflectionProbeManager.CachedProbe>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Int32,UnityEngine.RenderInstancedDataLayout>",1,0.000,0.000
"System.Collections.Generic.Dictionary<UnityEngine.Hash128,System.Int32>",1,0.000,0.000
"System.Collections.Generic.Dictionary<UnityEngine.Hash128,System.Int32[]>",1,0.000,0.000
"System.Collections.Generic.Dictionary<UnityEngine.Bounds,UnityEngine.Rendering.ProbeBrickIndex.Brick[]>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.String,System.Collections.Generic.List<System.Int32>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.String,System.ValueTuple<UnityEngine.Rendering.ProbeVolumeBakingSet,System.Collections.Generic.List<System.Int32>>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Int32,UnityEngine.Rendering.ProbeReferenceVolume.Cell>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Int32,UnityEngine.Rendering.Universal.UniversalRenderPipeline.CameraMetadataCache.CameraMetadataCacheEntry>",1,0.000,0.000
"UnityEngine.Pool.ObjectPool<UnityEngine.Experimental.Rendering.XRLayout>",1,0.000,0.000
"UnityEngine.Pool.ObjectPool<System.Collections.Generic.List<UnityEngine.Camera>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Action<System.Boolean>,System.Collections.Generic.LinkedListNode<System.Action<System.Boolean>>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Action<UnityEngine.GameObject,UnityEngine.Material,UnityEngine.Material>,System.Collections.Generic.LinkedListNode<System.Action<UnityEngine.GameObject,UnityEngine.Material,UnityEngine.Material>>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Action<System.Boolean,UnityEngine.Material>,System.Collections.Generic.LinkedListNode<System.Action<System.Boolean,UnityEngine.Material>>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Action<System.Object,TMPro.Compute_DT_EventArgs>,System.Collections.Generic.LinkedListNode<System.Action<System.Object,TMPro.Compute_DT_EventArgs>>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<UnityEngine.GameObject,OVROverlayCanvas>",1,0.000,0.000
"System.Collections.Generic.Dictionary<OVRAnchor.Telemetry.Key,OVRTelemetryMarker>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Type,OVRPlugin.SpaceComponentType>",1,0.000,0.000
"System.Collections.Generic.Dictionary<OVRAnchor.DeferredKey,System.Collections.Generic.List<OVRAnchor.DeferredValue>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.String,System.Int32>",1,0.000,0.000
"UnityEngine.Texture[]",2,0.000,0.000
"System.Collections.Generic.Dictionary<Unity.Properties.ConversionRegistry.ConverterKey,System.Delegate>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.String,UnityEngine.UIElements.ConverterGroup>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Int32,System.Action<UnityEngine.Texture>>",1,0.000,0.000
"UnityEngine.InputSystem.Composites.AxisComposite",2,0.000,0.000
"OVRInput.HapticInfo",2,0.000,0.000
"System.Collections.Generic.List<Meta.XR.BuildingBlocks.VariantCheckpoint>",2,0.000,0.000
"System.Collections.Generic.List<OVRSpatialAnchor>",2,0.000,0.000
"System.Collections.Generic.Dictionary<System.String,System.Collections.Generic.List<System.String>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.UInt64,Meta.XR.MRUtilityKit.MRUKTrackable>",1,0.000,0.000
"System.Collections.Generic.Dictionary<UnityEngine.GameObject,OVRPassthroughLayer.PassthroughMeshInstance>",1,0.000,0.000
"System.Collections.Generic.Dictionary<OVRPassthroughLayer.ColorMapEditorType,OVRPlugin.InsightPassthroughColorMapType>",1,0.000,0.000
"System.Collections.Hashtable",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Guid,OVRTask.InternalDataRemover<Meta.XR.MRUtilityKit.MRUK.LoadDeviceResult>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Guid,OVRTask.ContinueWithRemover<Meta.XR.MRUtilityKit.MRUK.LoadDeviceResult>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Guid,OVRTask.ContinueWithInvoker<Meta.XR.MRUtilityKit.MRUK.LoadDeviceResult>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Guid,OVRTask.AwaitableSource<Meta.XR.MRUtilityKit.MRUK.LoadDeviceResult>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Guid,OVRTask.TaskSource<Meta.XR.MRUtilityKit.MRUK.LoadDeviceResult>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Guid,Meta.XR.MRUtilityKit.MRUK.LoadDeviceResult>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Int32,System.Threading.Tasks.Task>",1,0.000,0.000
"System.Threading.Tasks.Task",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUK.MRUKSettings",1,0.000,0.000
"System.Collections.Generic.Dictionary<Meta.XR.MRUtilityKit.MRUKAnchor,Meta.XR.MRUtilityKit.EffectMesh.EffectMeshObject>",1,0.000,0.000
"UnityEngine.KeyCode[]",2,0.000,0.000
"System.Collections.Generic.List<UnityEngine.XR.XRDisplaySubsystemDescriptor>",2,0.000,0.000
"System.Collections.Generic.HashSet.Slot<System.Collections.Generic.List<Meta.XR.MRUtilityKit.MRUKAnchor>>[]",1,0.000,0.000
"System.Collections.Generic.HashSet.Slot<UnityEngine.XR.Management.XRLoader>[]",1,0.000,0.000
"UnityEngine.Rendering.Universal.ScriptableRendererData[]",2,0.000,0.000
"UnityEngine.Rendering.Universal.ScriptableRenderer[]",2,0.000,0.000
"UnityEngine.Rendering.Universal.StencilStateData",2,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Networking.PlayerConnection.PlayerEditorConnectionEvents.MessageTypeSubscribers>",2,0.000,0.000
"System.Collections.Generic.List<System.Int64>",2,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.VolumeComponent>",2,0.000,0.000
"System.Collections.Generic.Dictionary<OVRSpace.StorageLocation,System.Collections.Generic.List<OVRSpatialAnchor>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.UInt64,OVRSpatialAnchor.MultiAnchorDelegatePair>",1,0.000,0.000
"System.Collections.Generic.Dictionary<OVRSpatialAnchor,System.Guid>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.UInt64,OVRSpatialAnchor>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Guid,OVRSpatialAnchor>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.ValueTuple<Meta.XR.ImmersiveDebugger.DebugGizmoType,System.Type>,Meta.XR.ImmersiveDebugger.Gizmo.GizmoTypeInfo>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Guid,UnityEngine.Networking.PlayerConnection.PlayerEditorConnectionEvents.MessageTypeSubscribers>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.String,System.String>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Text.RegularExpressions.Regex.CachedCodeEntryKey,System.Text.RegularExpressions.Regex.CachedCodeEntry>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.String,System.Globalization.CultureInfo>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Int32,System.Globalization.CultureInfo>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.String,System.Globalization.ISimpleCollator>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Int32,UnityEngine.InputSystem.InputDevice>",1,0.000,0.000
"System.Collections.Generic.Dictionary<UnityEngine.InputSystem.Utilities.InternedString,UnityEngine.InputSystem.Layouts.InputControlLayout.Collection.PrecompiledLayout>",1,0.000,0.000
"System.Collections.Generic.Dictionary<UnityEngine.InputSystem.Utilities.InternedString,UnityEngine.InputSystem.Utilities.InternedString[]>",1,0.000,0.000
"System.Collections.Generic.Dictionary<UnityEngine.InputSystem.Utilities.InternedString,UnityEngine.InputSystem.Utilities.InternedString>",1,0.000,0.000
"System.Collections.Generic.Dictionary<UnityEngine.InputSystem.Utilities.InternedString,System.Func<UnityEngine.InputSystem.Layouts.InputControlLayout>>",1,0.000,0.000
"System.Collections.Generic.Dictionary<UnityEngine.InputSystem.Utilities.InternedString,System.String>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Int32,System.String>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Type,System.Int32>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Type,UnityEngine.ISubsystem>",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.String,System.LocalDataStoreSlot>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.UnitySynchronizationContext.WorkRequest>",2,0.000,0.000
"UnityEngine.Rendering.VolumeProfile",2,0.000,0.000
"UnityEngine.GraphicsBuffer",3,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.DepthNormalOnlyPass.PassData",1,0.000,0.000
"UnityEngine.Display[]",2,0.000,0.000
"UnityEngine.HDROutputSettings[]",2,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsCommon.SettingsPanel.<>c__DisplayClass3_0",3,0.000,0.000
"UnityEngine.Events.InvokableCall<Meta.XR.MRUtilityKit.MRUKAnchor>",3,0.000,0.000
"UnityEngine.InputSystem.XR.XRLayoutBuilder.<>c__DisplayClass5_0",3,0.000,0.000
"System.Collections.Generic.SortedList<System.Int32,System.ValueTuple<UnityEngine.Rendering.RTHandle,System.Int32>>",1,0.000,0.000
"System.Collections.Generic.HashSet<System.Collections.Generic.List<Meta.XR.MRUtilityKit.MRUKAnchor>>",1,0.000,0.000
"System.Collections.Generic.HashSet<System.UInt64>",1,0.000,0.000
"System.Collections.Generic.HashSet<Meta.XR.MRUtilityKit.MRUKAnchor>",1,0.000,0.000
"System.Collections.Generic.HashSet<Meta.XR.MRUtilityKit.MRUKRoom>",1,0.000,0.000
"System.Collections.Generic.HashSet<OVRManager.EventListener>",1,0.000,0.000
"UnityEngine.Rendering.SupportedRenderingFeatures",1,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.ColorGradingLutPass.PassData",1,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalRenderPipelineVolumeDebugSettings",1,0.000,0.000
"System.Collections.Generic.HashSet<UnityEngine.Rendering.Universal.URPProfileId>",1,0.000,0.000
"UnityEngine.Rendering.DebugFrameTiming",1,0.000,0.000
"System.Collections.Generic.HashSet<UnityEngine.Rendering.IDebugDisplaySettingsData>",1,0.000,0.000
"UnityEngine.XR.Management.XRLoader[]",2,0.000,0.000
"System.Collections.Generic.HashSet<UnityEngine.InputSystem.Utilities.InternedString>",1,0.000,0.000
"UnityEngine.InputSystem.LowLevel.NativeInputRuntime",1,0.000,0.000
"System.Collections.Generic.HashSet<UnityEngine.XR.Management.XRLoader>",1,0.000,0.000
"UnityEngine.Experimental.Rendering.GraphicsFormat[][]",1,0.000,0.000
"UnityEngine.Rendering.Universal.ScreenSpaceAmbientOcclusion",1,0.000,0.000
"Unity.XR.Oculus.OculusSettings",1,0.000,0.000
"System.Globalization.CalendarId[]",2,0.000,0.000
"UnityEngine.Rendering.AdvancedUpscalers[]",2,0.000,0.000
"OVRSemanticLabels.Classification[]",2,0.000,0.000
"System.Globalization.GregorianCalendar",2,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.UnsafeGraphContext",2,0.000,0.000
"UnityEngine.Rendering.UnsafeCommandBuffer",2,0.000,0.000
"UnityEngine.Rendering.RasterCommandBuffer",2,0.000,0.000
"UnityEngine.Rendering.Universal.DrawScreenSpaceUIPass.PassData",2,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalRenderPipeline.CameraMetadataCache.CameraMetadataCacheEntry",2,0.000,0.000
"UnityEngine.Rendering.DynamicResolutionHandler.ScalerContainer[]",1,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.FinalBlitPass.BlitMaterialData[]",1,0.000,0.000
"UnityEngine.XR.XRNodeState[]",2,0.000,0.000
"OVRPassthroughLayer.InterpolatedColorLutHandler",1,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalRenderingData",1,0.000,0.000
"OVRPlugin.GUID",2,0.000,0.000
"UnityEngine.InputSystem.Composites.ButtonWithOneModifier",2,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.InternalRenderGraphContext",1,0.000,0.000
"System.Text.RegularExpressions.Group",1,0.000,0.000
"Meta.XR.BuildingBlocks.InstallationRoutineCheckpoint",2,0.000,0.000
"UnityEngine.Rendering.Universal.XROcclusionMeshPass.PassData",1,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalRenderPipelineDebugDisplayStats",1,0.000,0.000
"TMPro.FastAction<UnityEngine.Object>",2,0.000,0.000
"TMPro.FastAction",2,0.000,0.000
"UnityEngine.Rendering.Universal.ScreenSpaceAmbientOcclusionSettings",1,0.000,0.000
"UnityEngine.Rendering.ShaderStrippingSetting",2,0.000,0.000
"UnityEngine.Bounds[]",2,0.000,0.000
"UnityEngine.Rendering.Universal.ScriptableRendererData.DebugShaderResources",2,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalRenderPipelineAsset.TextureResources",2,0.000,0.000
"UnityEngine.Rendering.ProbeReferenceVolume.CellStreamingRequest[]",2,0.000,0.000
"System.CultureAwareComparer",2,0.000,0.000
"UnityEngine.Logger",2,0.000,0.000
"UnityEngine.Awaitable.DoubleBufferedAwaitableList",2,0.000,0.000
"System.Text.UTF8Encoding.UTF8EncodingSealed",1,0.000,0.000
"System.Text.UTF8Encoding",1,0.000,0.000
"UnityEngine.InputSystem.Layouts.InputDeviceFindControlLayoutDelegate[]",1,0.000,0.000
"OVRRuntimeSettings",1,0.000,0.000
"System.Collections.Generic.Dictionary<UnityEngine.Rendering.Universal.URPProfileId,UnityEngine.Rendering.DebugDisplayStats.AccumulatedTiming<UnityEngine.Rendering.Universal.URPProfileId>>[]",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphResourceRegistry.RenderGraphResourcesData[]",1,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalLightData",1,0.000,0.000
"UnityEngine.Rendering.Universal.XRDepthMotionPass.PassData",1,0.000,0.000
"UnityEngine.Rendering.ProbeSamplingDebugData",1,0.000,0.000
"UnityEngine.InputSystem.XR.FeatureType[]",1,0.000,0.000
"System.Collections.Concurrent.ConcurrentDictionary<System.Type,Unity.Properties.IPropertyBag>",1,0.000,0.000
"UnityEngine.XR.XRInputSubsystem",1,0.000,0.000
"System.Net.Sockets.SafeSocketHandle",1,0.000,0.000
"OVRDisplay",1,0.000,0.000
"UnityEngine.Rendering.Universal.PostProcessData.TextureResources",1,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalRendererResources",1,0.000,0.000
"System.LocalDataStoreMgr",1,0.000,0.000
"UnityEngine.XR.Management.XRManagerSettings",1,0.000,0.000
"UnityEngine.XR.Management.XRGeneralSettings",1,0.000,0.000
"RenderGraphCompilationCache",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphBuilders",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplaySettingsVolume.WidgetFactory.<>c__DisplayClass7_0",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplaySettingsVolume.SettingsPanel",1,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.ForwardLights.SetupLightPassData",1,0.000,0.000
"UnityEngine.Rendering.ObjectPool<System.Collections.Generic.List<UnityEngine.Rendering.DebugUI.Widget>>",1,0.000,0.000
"UnityEngine.MaterialPropertyBlock",2,0.000,0.000
"UnityEngine.HDROutputSettings",2,0.000,0.000
"UnityEngine.Rendering.ObjectPool<System.Collections.Generic.List<System.Int32>>",1,0.000,0.000
"UnityEngine.Rendering.ObjectPool<System.Collections.Generic.List<UnityEngine.GUIContent>>",1,0.000,0.000
"UnityEngine.Rendering.ObjectPool<UnityEngine.Rendering.ProbeReferenceVolume.CellStreamingRequest>",1,0.000,0.000
"System.Collections.Generic.Queue<UnityEngine.Rendering.ProbeReferenceVolume.CellStreamingRequest>",1,0.000,0.000
"UnityEngine.Rendering.ObjectPool<UnityEngine.Rendering.ProbeReferenceVolume.Cell>",1,0.000,0.000
"UnityEngine.Rendering.ObjectPool<UnityEngine.Rendering.CommandBuffer>",1,0.000,0.000
"UnityEngine.Rendering.ObjectPool<UnityEngine.Rendering.Universal.XRPassUniversal>",1,0.000,0.000
"System.IntPtr[]",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass10_0",2,0.000,0.000
"OVRHaptics.OVRHapticsChannel",2,0.000,0.000
"OVRHaptics.OVRHapticsChannel[]",1,0.000,0.000
"OVRHaptics.OVRHapticsOutput[]",1,0.000,0.000
"UnityEngine.XR.XRDisplaySubsystem",1,0.000,0.000
"OVRInput.HapticInfo[]",1,0.000,0.000
"UnityEngine.Events.InvokableCall<Meta.XR.MRUtilityKit.MRUKRoom>",2,0.000,0.000
"UnityEngine.Events.UnityEvent",1,0.000,0.000
"OVRPassthroughLayer.ColorLutHandler",1,0.000,0.000
"UnityEngine.Events.UnityEvent<OVRPassthroughLayer>",1,0.000,0.000
"System.Collections.Generic.LinkedListNode<System.Action<UnityEngine.Object>>",1,0.000,0.000
"System.Collections.Generic.LinkedList<System.Action<System.Boolean>>",1,0.000,0.000
"System.Collections.Generic.LinkedList<System.Action<UnityEngine.GameObject,UnityEngine.Material,UnityEngine.Material>>",1,0.000,0.000
"System.Collections.Generic.LinkedList<System.Action<System.Boolean,UnityEngine.Material>>",1,0.000,0.000
"System.Collections.Generic.LinkedList<System.Action<System.Object,TMPro.Compute_DT_EventArgs>>",1,0.000,0.000
"UnityEngine.Rendering.ObjectPool<System.Collections.Generic.List<System.Type>>",1,0.000,0.000
"UnityEngine.Rendering.DebugManager.UIState",2,0.000,0.000
"UnityEngine.InputForUI.NavigationEventRepeatHelper",1,0.000,0.000
"UnityEngine.InputSystem.InputRemoting",1,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalRenderPipelineRuntimeTextures",1,0.000,0.000
"UnityEngine.Events.InvokableCall<System.Int32>",2,0.000,0.000
"System.Text.DecoderReplacementFallback",2,0.000,0.000
"System.Text.EncoderReplacementFallback",2,0.000,0.000
"System.AttributeUsageAttribute",2,0.000,0.000
"System.Threading.ThreadLocal.LinkedSlot<UnityEngine.Pool.ObjectPool<UnityEngine.Awaitable>>",1,0.000,0.000
"System.Threading.ThreadLocal<UnityEngine.Pool.ObjectPool<UnityEngine.Awaitable>>",1,0.000,0.000
"UnityEngine.UnitySynchronizationContext",1,0.000,0.000
"UnityEngine.InputSystem.RemoteInputPlayerConnection",1,0.000,0.000
"MetaXRAcousticSettings",1,0.000,0.000
"OVRSystemPerfMetrics.OVRSystemPerfMetricsTcpServer",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsMaterial.SettingsPanel",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.DebugHandler.DebugSetupPassData>>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.Universal.Internal.ForwardLights.SetupLightPassData>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.RenderGraphModule.UnsafeRenderGraphPass<UnityEngine.Rendering.Universal.Internal.ForwardLights.SetupLightPassData>>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.Universal.MotionVectorRenderPass.MotionMatrixPassData>",1,0.000,0.000
"System.Collections.Generic.Stack<UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.CompilerContextData>",1,0.000,0.000
"System.Collections.Generic.Stack<UnityEngine.Rendering.RenderGraphModule.RenderGraph.CompiledGraph>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphDebugParams",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.RenderGraphModule.RenderGraphPass>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.MaterialPropertyBlock>",1,0.000,0.000
"System.Collections.Generic.List<System.ValueTuple<System.Object,System.ValueTuple<System.Type,System.Int32>>>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.RenderGraphModule.RenderGraph>",1,0.000,0.000
"UnityEngine.Rendering.VolumeStack",1,0.000,0.000
"System.Collections.Generic.Stack<System.Collections.Generic.List<System.Int32>>",1,0.000,0.000
"System.Collections.Generic.Stack<System.Collections.Generic.List<UnityEngine.GUIContent>>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData>>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.Universal.DebugHandler.DebugSetupPassData>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.Universal.URPProfileId>",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplaySettingsStats.StatsPanel<UnityEngine.Rendering.Universal.URPProfileId>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.IDebugDisplaySettingsPanelDisposable>",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplaySettingsVolume",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.PerformanceBottleneck>",1,0.000,0.000
"UnityEngine.Rendering.BottleneckHistory",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.FrameTimeSample>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.Universal.UniversalAdditionalCameraData>",1,0.000,0.000
"System.Lazy<UnityEngine.Rendering.Universal.UniversalRenderPipelineDebugDisplaySettings>",1,0.000,0.000
"System.Collections.Generic.List<System.ValueTuple<System.Int32,UnityEngine.GraphicsBuffer>>",1,0.000,0.000
"System.Collections.Generic.List<System.ValueTuple<System.Int32,UnityEngine.Rendering.RTHandle>>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.RendererList>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.Universal.ScriptableRenderer.BeginXRPassData>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.BeginXRPassData>>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.Universal.Internal.MainLightShadowCasterPass.PassData>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.Internal.MainLightShadowCasterPass.PassData>>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.Universal.ScriptableRenderer.EndXRPassData>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.EndXRPassData>>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.Universal.Internal.DrawObjectsPass.PassData>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.Internal.DrawObjectsPass.PassData>>",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsLighting.SettingsPanel",1,0.000,0.000
"System.Collections.Generic.List<System.ValueTuple<System.String,System.Type>>",1,0.000,0.000
"System.Collections.Generic.Stack<System.Collections.Generic.List<UnityEngine.Rendering.DebugUI.Widget>>",1,0.000,0.000
"System.Collections.Generic.List<Meta.XR.MRUtilityKit.MRUKRoom.CouchSeat>",1,0.000,0.000
"System.Collections.Generic.LowLevelDictionary<System.Int32,System.Threading.Tasks.Task>",1,0.000,0.000
"System.Collections.Generic.List<System.Int16>",1,0.000,0.000
"System.Collections.Generic.List<System.Byte>",1,0.000,0.000
"System.Collections.Generic.List<System.UInt32>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.Universal.ScriptableRenderPass>",1,0.000,0.000
"System.Collections.Generic.Stack<UnityEngine.Rendering.Universal.XRPassUniversal>",1,0.000,0.000
"System.Collections.Generic.List<System.ValueTuple<UnityEngine.Camera,UnityEngine.Experimental.Rendering.XRPass>>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Experimental.Rendering.XRLayout>",1,0.000,0.000
"System.Collections.Generic.Stack<System.Collections.Generic.List<System.Type>>",1,0.000,0.000
