NameOfObject,Type,Allocated(MB),Resident(MB)
"TTSDiskCache","MonoScript",0.000,0.000
"IIdentifiable","MonoScript",0.000,0.000
"noise4D","MonoScript",0.000,0.000
"EnumDisplayAttribute","MonoScript",0.000,0.000
"HandPokeOvershootGlow","MonoScript",0.000,0.000
"CapabilityDictionary","MonoScript",0.000,0.000
"TwoGrabFreeTransformer","MonoScript",0.000,0.000
"IsCapsuleWithinColliderApprox","MonoScript",0.000,0.000
"TTSWitVoiceSettings","MonoScript",0.000,0.000
"MoveTowardsTargetProvider","MonoScript",0.000,0.000
"TimeNotificationBehaviour","MonoScript",0.000,0.000
"TrackedDeviceRaycaster","MonoScript",0.000,0.000
"ITextPreProcessor","MonoScript",0.000,0.000
"Error","MonoScript",0.000,0.000
"ManagedInfo","MonoScript",0.000,0.000
"InputEditorAnalytics","MonoScript",0.000,0.000
"SpatialAnchorCoreBuildingBlock","MonoScript",0.000,0.000
"ToggleDeselect","MonoScript",0.000,0.000
"CapabilityProfile","MonoScript",0.000,0.000
"CreateStruct","MonoScript",0.000,0.000
"FixedStringParseMethods","MonoScript",0.000,0.000
"OVRControllerHelper","MonoScript",0.000,0.000
"LateUpdate","MonoScript",0.000,0.000
"ActiveStateGroup","MonoScript",0.000,0.000
"BurstLoader","MonoScript",0.000,0.000
"Vector4Normalize","MonoScript",0.000,0.000
"WitConfiguration","MonoScript",0.000,0.000
"VBRInfo","MonoScript",0.000,0.000
"HandGrabAPI","MonoScript",0.000,0.000
"InputActionSetupExtensions","MonoScript",0.000,0.000
"NEON_AArch64_dotprod","MonoScript",0.000,0.000
"F16C","MonoScript",0.000,0.000
"NEON","MonoScript",0.000,0.000
"EqualityComparison","MonoScript",0.000,0.000
"Touchscreen","MonoScript",0.000,0.000
"UnitCategory","MonoScript",0.000,0.000
"EnsureThat.Guids","MonoScript",0.000,0.000
"MetaHubContextAttribute","MonoScript",0.000,0.000
"IJobParallelForDefer","MonoScript",0.000,0.000
"IVRequest","MonoScript",0.000,0.000
"IGraphParent","MonoScript",0.000,0.000
"GrabInteractor","MonoScript",0.000,0.000
"OVRObjectPool","MonoScript",0.000,0.000
"SequentialSlotsProvider","MonoScript",0.000,0.000
"WitValidationEvent","MonoScript",0.000,0.000
"RANSACVelocityCalculator","MonoScript",0.000,0.000
"MockWebSocket","MonoScript",0.000,0.000
"VoiceSpeechEvents","MonoScript",0.000,0.000
"SurfaceUtils","MonoScript",0.000,0.000
"WitIntentInfo","MonoScript",0.000,0.000
"HandJoint","MonoScript",0.000,0.000
"Utils","MonoScript",0.000,0.000
"WitVersionTagInfo","MonoScript",0.000,0.000
"WitFloatValue","MonoScript",0.000,0.000
"TaskUtility","MonoScript",0.000,0.000
"classicnoise3D","MonoScript",0.000,0.000
"FixedString.gen","MonoScript",0.000,0.000
"Vector3Extensions","MonoScript",0.000,0.000
"ISerializationDepender","MonoScript",0.000,0.000
"TMP_StyleSheet","MonoScript",0.000,0.000
"TMP_DynamicFontAssetUtilities","MonoScript",0.000,0.000
"OVRFace","MonoScript",0.000,0.000
"IGraphElementData","MonoScript",0.000,0.000
"CorrelationID","MonoScript",0.000,0.000
"DivisionHandler","MonoScript",0.000,0.000
"StepLocomotionBroadcaster","MonoScript",0.000,0.000
"AudioDecoderPcm","MonoScript",0.000,0.000
"Tween","MonoScript",0.000,0.000
"AnimationCurveDatum","MonoScript",0.000,0.000
"InstallationRoutineCheckpoint","MonoScript",0.000,0.000
"OnDestinationReached","MonoScript",0.000,0.000
"InputControlTreeView","MonoScript",0.000,0.000
"IParameterProvider","MonoScript",0.000,0.000
"UISupport","MonoScript",0.000,0.000
"Bmi2","MonoScript",0.000,0.000
"XRSupport","MonoScript",0.000,0.000
"BodyPrimitives","MonoScript",0.000,0.000
"SwitchSupportHID","MonoScript",0.000,0.000
"InstanceCache","MonoScript",0.000,0.000
"OVRSystemPerfMetrics","MonoScript",0.000,0.000
"MetaXRAcousticMap","MonoScript",0.000,0.000
"MultiRequestTranscription","MonoScript",0.000,0.000
"OVRFaceExpressions","MonoScript",0.000,0.000
"BaseAudioClipInput","MonoScript",0.000,0.000
"PolylineRenderer","MonoScript",0.000,0.000
"IDynamicEntitiesProvider","MonoScript",0.000,0.000
"InputControlExtensions","MonoScript",0.000,0.000
"TTSDownloadEvents","MonoScript",0.000,0.000
"AotList","MonoScript",0.000,0.000
"InlineLinkAttribute","MonoScript",0.000,0.000
"InputActionCodeGenerator","MonoScript",0.000,0.000
"quaternion","MonoScript",0.000,0.000
"ColorConverter","MonoScript",0.000,0.000
"MergeDictionaries","MonoScript",0.000,0.000
"CollisionEvent2DUnit","MonoScript",0.000,0.000
"CustomSignalEventDrawer","MonoScript",0.000,0.000
"RuntimeSettings","MonoScript",0.000,0.000
"InteractorControllerDecorator","MonoScript",0.000,0.000
"InvokerBase","MonoScript",0.000,0.000
"IUnitDebugData","MonoScript",0.000,0.000
"OVRCameraRigRef","MonoScript",0.000,0.000
"OVRUnityEditorSwitcher","MonoScript",0.000,0.000
"BecomeChildOfTargetOnStart","MonoScript",0.000,0.000
"HIDParser","MonoScript",0.000,0.000
"TTSSpeakerBodyAnimator","MonoScript",0.000,0.000
"ControlInput","MonoScript",0.000,0.000
"VersionTextVisual","MonoScript",0.000,0.000
"TwoGrabPlaneTransformer","MonoScript",0.000,0.000
"OVRSceneLoader","MonoScript",0.000,0.000
"SlingshotPellet","MonoScript",0.000,0.000
"TTSWit","MonoScript",0.000,0.000
"WitRequestOptions","MonoScript",0.000,0.000
"XRManagementAnalytics","MonoScript",0.000,0.000
"InputAnalytics","MonoScript",0.000,0.000
"AssetFileDeleteResult","MonoScript",0.000,0.000
"ShoulderEstimatePosition","MonoScript",0.000,0.000
"MRPassthrough","MonoScript",0.000,0.000
"Graphic","MonoScript",0.000,0.000
"HorizontalOrVerticalLayoutGroup","MonoScript",0.000,0.000
"TMP_UpdateRegistery","MonoScript",0.000,0.000
"math","MonoScript",0.000,0.000
"GroupPresenceLeaveIntent","MonoScript",0.000,0.000
"half","MonoScript",0.000,0.000
"TTSDiskCacheSettings","MonoScript",0.000,0.000
"FontFeatureCommonGPOS","MonoScript",0.000,0.000
"JoystickPoseMovementProvider","MonoScript",0.000,0.000
"AchievementUpdate","MonoScript",0.000,0.000
"IAudioInputEvents","MonoScript",0.000,0.000
"half4.gen","MonoScript",0.000,0.000
"DictationServiceReference","MonoScript",0.000,0.000
"GridSliceResizer","MonoScript",0.000,0.000
"noise2D","MonoScript",0.000,0.000
"InputActionsTreeViewItem","MonoScript",0.000,0.000
"OnInputFieldEndEdit","MonoScript",0.000,0.000
"AnimationOutputWeightProcessor","MonoScript",0.000,0.000
"JsonIgnoreAttribute","MonoScript",0.000,0.000
"TTSServiceEvents","MonoScript",0.000,0.000
"WitWebSocketClient","MonoScript",0.000,0.000
"bool3x3.gen","MonoScript",0.000,0.000
"VoiceSDKImpl","MonoScript",0.000,0.000
"IUnitOutputPort","MonoScript",0.000,0.000
"InputEventTreeView","MonoScript",0.000,0.000
"AudioDurationTracker","MonoScript",0.000,0.000
"IHapticsPlayer","MonoScript",0.000,0.000
"ShouldHideHandOnGrab","MonoScript",0.000,0.000
"AutoFreeAllocator","MonoScript",0.000,0.000
"WitDynamicEntities","MonoScript",0.000,0.000
"TouchShadowHand","MonoScript",0.000,0.000
"MicPermissionsManager","MonoScript",0.000,0.000
"ColliderSurface","MonoScript",0.000,0.000
"IPointableCanvas","MonoScript",0.000,0.000
"HandPhysicsCapsules","MonoScript",0.000,0.000
"OVRAnchor.Telemetry","MonoScript",0.000,0.000
"ILocomotionEventHandler","MonoScript",0.000,0.000
"ControllerDataSourceConfig","MonoScript",0.000,0.000
"OnApplicationResume","MonoScript",0.000,0.000
"InputDeviceBuilder","MonoScript",0.000,0.000
"OnMouseExit","MonoScript",0.000,0.000
"NEON_AArch64","MonoScript",0.000,0.000
"MetaXRAudioSource","MonoScript",0.000,0.000
"Axis1DSwitch","MonoScript",0.000,0.000
"OnApplicationFocus","MonoScript",0.000,0.000
"uint4.gen","MonoScript",0.000,0.000
"If","MonoScript",0.000,0.000
"AudioEncoding","MonoScript",0.000,0.000
"TeleportProceduralArcVisual","MonoScript",0.000,0.000
"OnApplicationQuit","MonoScript",0.000,0.000
"OnCollisionEnter","MonoScript",0.000,0.000
"LooseAssemblyName","MonoScript",0.000,0.000
"ClipperRegistry","MonoScript",0.000,0.000
"int2x2.gen","MonoScript",0.000,0.000
"Sse","MonoScript",0.000,0.000
"ConduitAssemblyAttribute","MonoScript",0.000,0.000
"SerializationVersionAttribute","MonoScript",0.000,0.000
"VoiceServiceRequestOptions","MonoScript",0.000,0.000
"CameraExtensions","MonoScript",0.000,0.000
"IUnitControlPort","MonoScript",0.000,0.000
"WitEntityKeywordInfo","MonoScript",0.000,0.000
"IsVariableDefinedUnit","MonoScript",0.000,0.000
"IInputInteraction","MonoScript",0.000,0.000
"InputActionEditorToolbar","MonoScript",0.000,0.000
"InputActionAssetDrawer","MonoScript",0.000,0.000
"OnBeginDrag","MonoScript",0.000,0.000
"DistanceGrabInteractor","MonoScript",0.000,0.000
"WitIntentMatcher","MonoScript",0.000,0.000
"ITranscriptionRequestResults","MonoScript",0.000,0.000
"PlatformInternal","MonoScript",0.000,0.000
"IInteractor","MonoScript",0.000,0.000
"IInitializable","MonoScript",0.000,0.000
"Vector3Average","MonoScript",0.000,0.000
"ComposerSpeechHandler","MonoScript",0.000,0.000
"UserProof","MonoScript",0.000,0.000
"PlaneSurface","MonoScript",0.000,0.000
"ScalarAbsolute","MonoScript",0.000,0.000
"float4.gen","MonoScript",0.000,0.000
"BindingPropertiesView","MonoScript",0.000,0.000
"FingersMetadata","MonoScript",0.000,0.000
"InputKey","MonoScript",0.000,0.000
"PoseExtensions","MonoScript",0.000,0.000
"FastMouse.partial","MonoScript",0.000,0.000
"HandPinchOffset","MonoScript",0.000,0.000
"OnTransformChildrenChanged","MonoScript",0.000,0.000
"GeometryUtils","MonoScript",0.000,0.000
"MemberUnit","MonoScript",0.000,0.000
"InspectorAdaptiveWidthAttribute","MonoScript",0.000,0.000
"SelectOnInteger","MonoScript",0.000,0.000
"InfiniteRuntimeClip","MonoScript",0.000,0.000
"HandVisual","MonoScript",0.000,0.000
"TurnArrowVisuals","MonoScript",0.000,0.000
"FilteredTransform","MonoScript",0.000,0.000
"HashSetExtensions","MonoScript",0.000,0.000
"ControlSchemeCommands","MonoScript",0.000,0.000
"UnitShortTitleAttribute","MonoScript",0.000,0.000
"OVRMixedRealityCaptureSettings","MonoScript",0.000,0.000
"TrackingToWorldTransformerOVR","MonoScript",0.000,0.000
"LayerMaskExtensions","MonoScript",0.000,0.000
"PressureBreakable","MonoScript",0.000,0.000
"ControllerAxis2D","MonoScript",0.000,0.000
"MaterialUtils","MonoScript",0.000,0.000
"UIThemeManager","MonoScript",0.000,0.000
"WitMessageVRequest","MonoScript",0.000,0.000
"ContextMenu","MonoScript",0.000,0.000
"HapticClip","MonoScript",0.000,0.000
"DownloadableSample","MonoScript",0.000,0.000
"WitTranscriptionEvent","MonoScript",0.000,0.000
"InputDeviceDescription","MonoScript",0.000,0.000
"FingerPinchGrabAPI","MonoScript",0.000,0.000
"ISurfaceClipper","MonoScript",0.000,0.000
"DictationSession","MonoScript",0.000,0.000
"Comment","MonoScript",0.000,0.000
"OVRResult","MonoScript",0.000,0.000
"OVRMicrogestureEventSource","MonoScript",0.000,0.000
"IPoseInputDevice","MonoScript",0.000,0.000
"UndoBlock","MonoScript",0.000,0.000
"ScalarRoot","MonoScript",0.000,0.000
"Timer","MonoScript",0.000,0.000
"MaskableGraphic","MonoScript",0.000,0.000
"Vector4Average","MonoScript",0.000,0.000
"DestructibleMeshComponent","MonoScript",0.000,0.000
"v64","MonoScript",0.000,0.000
"TMPro_EventManager","MonoScript",0.000,0.000
"TMP_Sprite","MonoScript",0.000,0.000
"IStateDebugData","MonoScript",0.000,0.000
"IWitWebSocketClient","MonoScript",0.000,0.000
"OnScroll","MonoScript",0.000,0.000
"Cooldown","MonoScript",0.000,0.000
"ConduitEntityAttribute","MonoScript",0.000,0.000
"OutOfScopeUtteranceHandler","MonoScript",0.000,0.000
"ScriptGraphAsset","MonoScript",0.000,0.000
"UserOptions","MonoScript",0.000,0.000
"OVRMixedRealityCaptureTest","MonoScript",0.000,0.000
"SubgraphUnit","MonoScript",0.000,0.000
"RosterOptions","MonoScript",0.000,0.000
"AnimationCurveDatumProperty","MonoScript",0.000,0.000
"OVRBounded2D","MonoScript",0.000,0.000
"ActionPropertiesView","MonoScript",0.000,0.000
"Library","MonoScript",0.000,0.000
"OVRProfilerScope","MonoScript",0.000,0.000
"TextMeshPro","MonoScript",0.000,0.000
"ScalarMinimum","MonoScript",0.000,0.000
"MoveFromTargetProvider","MonoScript",0.000,0.000
"ModuloHandler","MonoScript",0.000,0.000
"DominantHandRef","MonoScript",0.000,0.000
"IsSphereWithinCollider","MonoScript",0.000,0.000
"LocomotionActionsBroadcaster","MonoScript",0.000,0.000
"OneGrabPhysicsJointTransformer","MonoScript",0.000,0.000
"InvalidInput","MonoScript",0.000,0.000
"TriggerStateTransition","MonoScript",0.000,0.000
"Ray2DConverter","MonoScript",0.000,0.000
"IGameObjectFilter","MonoScript",0.000,0.000
"ISelector","MonoScript",0.000,0.000
"BasicPBRGlobals","MonoScript",0.000,0.000
"OVRPassthroughColorLut","MonoScript",0.000,0.000
"uint2x2.gen","MonoScript",0.000,0.000
"ShadowHand","MonoScript",0.000,0.000
"UnityOnEndDragMessageListener","MonoScript",0.000,0.000
"TestSceneUsage","MonoScript",0.000,0.000
"ScalarExponentiate","MonoScript",0.000,0.000
"float2x2.gen","MonoScript",0.000,0.000
"CanvasSizeConstraint","MonoScript",0.000,0.000
"InputControlScheme","MonoScript",0.000,0.000
"GlobalMessageListener","MonoScript",0.000,0.000
"IBranchUnit","MonoScript",0.000,0.000
"GenericXRDevice","MonoScript",0.000,0.000
"IGraphicEnabledDisabled","MonoScript",0.000,0.000
"AudioTrigger","MonoScript",0.000,0.000
"InputControlPathEditor","MonoScript",0.000,0.000
"IUnitConnectionDebugData","MonoScript",0.000,0.000
"WindowsMR","MonoScript",0.000,0.000
"LockedBodyPose","MonoScript",0.000,0.000
"BaseEventData","MonoScript",0.000,0.000
"TTSDebugger","MonoScript",0.000,0.000
"IGraphElementWithDebugData","MonoScript",0.000,0.000
"OneGrabScaleTransformer","MonoScript",0.000,0.000
"ReflectedCloner","MonoScript",0.000,0.000
"WitResponseDecoder","MonoScript",0.000,0.000
"TMP_CharacterInfo","MonoScript",0.000,0.000
"SceneGroupLoader","MonoScript",0.000,0.000
"IPointable","MonoScript",0.000,0.000
"Toggle","MonoScript",0.000,0.000
"ManifestParameter","MonoScript",0.000,0.000
"HandGrabInteractor","MonoScript",0.000,0.000
"int4.gen","MonoScript",0.000,0.000
"OVRXRSDKNative","MonoScript",0.000,0.000
"BoundsExtensions","MonoScript",0.000,0.000
"IRigidbodyRef","MonoScript",0.000,0.000
"XString","MonoScript",0.000,0.000
"IntervalTree","MonoScript",0.000,0.000
"IDecoratorAttribute","MonoScript",0.000,0.000
"OnControllerColliderHit","MonoScript",0.000,0.000
"OVRInputModule","MonoScript",0.000,0.000
"SerializeAttribute","MonoScript",0.000,0.000
"MicBase","MonoScript",0.000,0.000
"ValueAttribute","MonoScript",0.000,0.000
"MetaXRAudioNativeInterface","MonoScript",0.000,0.000
"UnityOnMouseUpMessageListener","MonoScript",0.000,0.000
"IInstanceResolver","MonoScript",0.000,0.000
"IPubSubAdapter","MonoScript",0.000,0.000
"float3x4.gen","MonoScript",0.000,0.000
"IGraphData","MonoScript",0.000,0.000
"BurstCompileTarget","MonoScript",0.000,0.000
"InstanceHandle","MonoScript",0.000,0.000
"INLPRequestOptions","MonoScript",0.000,0.000
"ScrollInputProvider","MonoScript",0.000,0.000
"double2.gen","MonoScript",0.000,0.000
"NumericComparison","MonoScript",0.000,0.000
"InvalidConnectionException","MonoScript",0.000,0.000
"TrialOffer","MonoScript",0.000,0.000
"Telemetry","MonoScript",0.000,0.000
"InputActionDebuggerWindow","MonoScript",0.000,0.000
"AchievementProgress","MonoScript",0.000,0.000
"SimpleIntentHandler","MonoScript",0.000,0.000
"XRLoaderHelper","MonoScript",0.000,0.000
"TTSSpeakerObserver","MonoScript",0.000,0.000
"double4.gen","MonoScript",0.000,0.000
"OnMouseUp","MonoScript",0.000,0.000
"HandFilterParameterBlock","MonoScript",0.000,0.000
"IntDatum","MonoScript",0.000,0.000
"SceneLoader","MonoScript",0.000,0.000
"IWitVRequest","MonoScript",0.000,0.000
"RayInteractorCursorVisual","MonoScript",0.000,0.000
"ReservedContextPathDictionary","MonoScript",0.000,0.000
"psrdnoise2D","MonoScript",0.000,0.000
"DiscreteTime","MonoScript",0.000,0.000
"HideWhenSetAttribute","MonoScript",0.000,0.000
"WitSettingsUtility","MonoScript",0.000,0.000
"ConduitDispatcherFactory","MonoScript",0.000,0.000
"InputActionMapsTreeViewItem","MonoScript",0.000,0.000
"IntegerContainer","MonoScript",0.000,0.000
"ManifestLoader","MonoScript",0.000,0.000
"Unit","MonoScript",0.000,0.000
"HandSphereMap","MonoScript",0.000,0.000
"PortLabelAttribute","MonoScript",0.000,0.000
"AudioTrack","MonoScript",0.000,0.000
"StateContainer","MonoScript",0.000,0.000
"GenericDivide","MonoScript",0.000,0.000
"ScalarDivide","MonoScript",0.000,0.000
"LoggerOptions","MonoScript",0.000,0.000
"OVRSceneVolumeMeshFilter","MonoScript",0.000,0.000
"OVRControllerUtility","MonoScript",0.000,0.000
"Vector4Absolute","MonoScript",0.000,0.000
"OVRSceneAnchor","MonoScript",0.000,0.000
"ConfidenceRange","MonoScript",0.000,0.000
"GridLayoutGroup","MonoScript",0.000,0.000
"IVoiceServiceRequestProvider","MonoScript",0.000,0.000
"PanelEventHandler","MonoScript",0.000,0.000
"WitErrorEvent","MonoScript",0.000,0.000
"OpenVR","MonoScript",0.000,0.000
"DebugInspectorManager","MonoScript",0.000,0.000
"InvokeMember","MonoScript",0.000,0.000
"FixedStringFormatMethods.gen","MonoScript",0.000,0.000
"Wit","MonoScript",0.000,0.000
"AnswerData","MonoScript",0.000,0.000
"Marker","MonoScript",0.000,0.000
"ICurvesOwner","MonoScript",0.000,0.000
"Utilities","MonoScript",0.000,0.000
"random","MonoScript",0.000,0.000
"ExampleCustomIntegrationConfig","MonoScript",0.000,0.000
"OVRMarkerPayload","MonoScript",0.000,0.000
"OperatorUtility","MonoScript",0.000,0.000
"RuntimeSettings","MonoScript",0.000,0.000
"MatchingControlPaths","MonoScript",0.000,0.000
"SerializableInspectedItems","MonoScript",0.000,0.000
"MetaXRAcousticControlZone","MonoScript",0.000,0.000
"UnitCategoryConverter","MonoScript",0.000,0.000
"MoveAtSourceProvider","MonoScript",0.000,0.000
"GrabStrengthIndicator","MonoScript",0.000,0.000
"PropertiesView","MonoScript",0.000,0.000
"TTSRuntimePlaybackCache","MonoScript",0.000,0.000
"HID","MonoScript",0.000,0.000
"int3.gen","MonoScript",0.000,0.000
"InputFeatureNames","MonoScript",0.000,0.000
"Challenge","MonoScript",0.000,0.000
"TMP_TextElement_Legacy","MonoScript",0.000,0.000
"BaseAudioClipStream","MonoScript",0.000,0.000
"StandalonePlatform","MonoScript",0.000,0.000
"ComposerSpeechUnityEvents","MonoScript",0.000,0.000
"GraphGroup","MonoScript",0.000,0.000
"IGraphVariableUnit","MonoScript",0.000,0.000
"InputActionMap","MonoScript",0.000,0.000
"CharacterController","MonoScript",0.000,0.000
"WitStringValue","MonoScript",0.000,0.000
"FastAction","MonoScript",0.000,0.000
"FingerFeatureStateProviderRef","MonoScript",0.000,0.000
"IGraphNesterElement","MonoScript",0.000,0.000
"WitDynamicEntitiesData","MonoScript",0.000,0.000
"HandSkeletonOVR","MonoScript",0.000,0.000
"Vector2Average","MonoScript",0.000,0.000
"BlockedUser","MonoScript",0.000,0.000
"Price","MonoScript",0.000,0.000
"AspectRatioFitter","MonoScript",0.000,0.000
"DictationEvents","MonoScript",0.000,0.000
"Keyboard","MonoScript",0.000,0.000
"WaitForSecondsUnit","MonoScript",0.000,0.000
"UnityObjectUtility","MonoScript",0.000,0.000
"IMeshModifier","MonoScript",0.000,0.000
"CanvasCylinder","MonoScript",0.000,0.000
"ParentScaleInverter","MonoScript",0.000,0.000
"ColorScale","MonoScript",0.000,0.000
"IComposerRequestHandler","MonoScript",0.000,0.000
"UnityOnCancelMessageListener","MonoScript",0.000,0.000
"NativeParallelHashMapExtensions","MonoScript",0.000,0.000
"TTSPhonemeEvent","MonoScript",0.000,0.000
"double3.gen","MonoScript",0.000,0.000
"InteractableGroup","MonoScript",0.000,0.000
"LocomotorSound","MonoScript",0.000,0.000
"InputBindingResolver","MonoScript",0.000,0.000
"OVRNativeList","MonoScript",0.000,0.000
"ITranscriptionEvent","MonoScript",0.000,0.000
"TMP_SpriteAsset","MonoScript",0.000,0.000
"ControllerPrimitives","MonoScript",0.000,0.000
"MemberFilter","MonoScript",0.000,0.000
"SharedStatic","MonoScript",0.000,0.000
"IRelativeToRef","MonoScript",0.000,0.000
"OnApplicationPause","MonoScript",0.000,0.000
"InputActionImporter","MonoScript",0.000,0.000
"TouchHandGrabInteractorVisual","MonoScript",0.000,0.000
"VariableDeclarations","MonoScript",0.000,0.000
"OrHandler","MonoScript",0.000,0.000
"InputSystemPlugin","MonoScript",0.000,0.000
"IAudioBufferProvider","MonoScript",0.000,0.000
"OculusSession","MonoScript",0.000,0.000
"ColorBlock","MonoScript",0.000,0.000
"InputControlDropdownItem","MonoScript",0.000,0.000
"GenericClosingException","MonoScript",0.000,0.000
"EnsureThat.Booleans","MonoScript",0.000,0.000
"PlayableTrack","MonoScript",0.000,0.000
"CreateList","MonoScript",0.000,0.000
"LayoutUtility","MonoScript",0.000,0.000
"TTSSpeakerStatusLabel","MonoScript",0.000,0.000
"OVRComposition","MonoScript",0.000,0.000
"InspectedData","MonoScript",0.000,0.000
"Misc","MonoScript",0.000,0.000
"int2x4.gen","MonoScript",0.000,0.000
"OVRButton","MonoScript",0.000,0.000
"CenterEyeOffset","MonoScript",0.000,0.000
"OVRCustomFace","MonoScript",0.000,0.000
"Sequence","MonoScript",0.000,0.000
"bool3x4.gen","MonoScript",0.000,0.000
"IAttributeProvider","MonoScript",0.000,0.000
"DisableRaycaster","MonoScript",0.000,0.000
"GetSavedVariable","MonoScript",0.000,0.000
"SetGraphVariable","MonoScript",0.000,0.000
"uint4x3.gen","MonoScript",0.000,0.000
"FixedStringUtils","MonoScript",0.000,0.000
"IMetaHubPage","MonoScript",0.000,0.000
"Triangulator","MonoScript",0.000,0.000
"IUnitControlPortDefinition","MonoScript",0.000,0.000
"CarouselView","MonoScript",0.000,0.000
"Vector2Extensions","MonoScript",0.000,0.000
"CombinedAudioEventReference","MonoScript",0.000,0.000
"xxHash3.AVX2","MonoScript",0.000,0.000
"OVROverlayCanvas_TMPChanged","MonoScript",0.000,0.000
"IUnitInputPortDefinition","MonoScript",0.000,0.000
"TimelinePlayable","MonoScript",0.000,0.000
"CountdownTimer","MonoScript",0.000,0.000
"OVRAnchorContainer","MonoScript",0.000,0.000
"SharedSpatialAnchorErrorHandler","MonoScript",0.000,0.000
"CylinderSurface","MonoScript",0.000,0.000
"IAudioPlayer","MonoScript",0.000,0.000
"AssetFileDownloadCancelResult","MonoScript",0.000,0.000
"IAudioUploadHandler","MonoScript",0.000,0.000
"ICollidersRef","MonoScript",0.000,0.000
"DynamicEntityKeywordRegistry","MonoScript",0.000,0.000
"ButtonAttribute","MonoScript",0.000,0.000
"ValuePortDefinition","MonoScript",0.000,0.000
"ExceptionUtility","MonoScript",0.000,0.000
"GraphReference","MonoScript",0.000,0.000
"GetMember","MonoScript",0.000,0.000
"ErrorMitigator","MonoScript",0.000,0.000
"StringDatumProperty","MonoScript",0.000,0.000
"WitResponseEvent","MonoScript",0.000,0.000
"TTSSpeakerInput","MonoScript",0.000,0.000
"CircleSurface","MonoScript",0.000,0.000
"OVRManager","MonoScript",0.000,0.000
"MonoBehaviourStartExtensions","MonoScript",0.000,0.000
"ISerializedPropertyProvider","MonoScript",0.000,0.000
"BodyPoseSwitcher","MonoScript",0.000,0.000
"CowatchingState","MonoScript",0.000,0.000
"OnScrollbarValueChanged","MonoScript",0.000,0.000
"ILoggerRegistry","MonoScript",0.000,0.000
"LastKnownGoodHand","MonoScript",0.000,0.000
"DebugLogActionSO","MonoScript",0.000,0.000
"IAudioInputSource","MonoScript",0.000,0.000
"VoiceTranscriptionLabel","MonoScript",0.000,0.000
"AchievementDefinition","MonoScript",0.000,0.000
"IEventMachine","MonoScript",0.000,0.000
"TouchHandGrabInteractable","MonoScript",0.000,0.000
"OVRTracker","MonoScript",0.000,0.000
"ITimeConsumer","MonoScript",0.000,0.000
"InputActionSerializationHelpers","MonoScript",0.000,0.000
"OVRSkeletonMapping","MonoScript",0.000,0.000
"GetApplicationVariable","MonoScript",0.000,0.000
"SetSceneVariable","MonoScript",0.000,0.000
"Vector4Maximum","MonoScript",0.000,0.000
"CoroutineTween","MonoScript",0.000,0.000
"MaskUtilities","MonoScript",0.000,0.000
"OVRTask","MonoScript",0.000,0.000
"cellular2D","MonoScript",0.000,0.000
"TMP_Dropdown","MonoScript",0.000,0.000
"HapticClipPlayer","MonoScript",0.000,0.000
"XRLoggingUtils","MonoScript",0.000,0.000
"uint3x2.gen","MonoScript",0.000,0.000
"UnityOnDeselectMessageListener","MonoScript",0.000,0.000
"XInputController","MonoScript",0.000,0.000
"UnifiedVariableUnit","MonoScript",0.000,0.000
"EventManager","MonoScript",0.000,0.000
"AdvancedAbuseReportOptions","MonoScript",0.000,0.000
"OVRReadOnlyAttribute","MonoScript",0.000,0.000
"OVRRaycaster","MonoScript",0.000,0.000
"NetSyncSession","MonoScript",0.000,0.000
"Selectable","MonoScript",0.000,0.000
"WitRequestFactory","MonoScript",0.000,0.000
"InputActionsEditorState","MonoScript",0.000,0.000
"IDistanceInteractor","MonoScript",0.000,0.000
"PanelRaycaster","MonoScript",0.000,0.000
"NavMeshSurface","MonoScript",0.000,0.000
"OVRCubemapCapture","MonoScript",0.000,0.000
"ListExtensions","MonoScript",0.000,0.000
"TTSActionEvent","MonoScript",0.000,0.000
"RoomMeshController","MonoScript",0.000,0.000
"TimelineClipExtensions","MonoScript",0.000,0.000
"TMP_InputValidator","MonoScript",0.000,0.000
"Sse4_1","MonoScript",0.000,0.000
"half2.gen","MonoScript",0.000,0.000
"uint4x2.gen","MonoScript",0.000,0.000
"MetaXRAudioUtils","MonoScript",0.000,0.000
"rigid_transform","MonoScript",0.000,0.000
"IAudioClipProvider","MonoScript",0.000,0.000
"OnDropdownValueChanged","MonoScript",0.000,0.000
"MicroGestureUnityEventWrapper","MonoScript",0.000,0.000
"PlayerInputEditor","MonoScript",0.000,0.000
"IMovementProvider","MonoScript",0.000,0.000
"SimpleStringEntityHandler","MonoScript",0.000,0.000
"IPrewarmable","MonoScript",0.000,0.000
"IController","MonoScript",0.000,0.000
"Vector2Distance","MonoScript",0.000,0.000
"MonoBehaviourExtensions","MonoScript",0.000,0.000
"FontFeatureCommonGSUB","MonoScript",0.000,0.000
"AssetDetails","MonoScript",0.000,0.000
"ProfiledSegmentCollection","MonoScript",0.000,0.000
"RectSizeConstraint","MonoScript",0.000,0.000
"TMPro_ExtensionMethods","MonoScript",0.000,0.000
"FingerRawPinchInjector","MonoScript",0.000,0.000
"DefaultInputControlPickerLayout","MonoScript",0.000,0.000
"SharedSpatialAnchorCore","MonoScript",0.000,0.000
"InputActionTreeViewItems","MonoScript",0.000,0.000
"EventSystem","MonoScript",0.000,0.000
